prediction,truth,similarity
[6],"[9, 2, 7, 10, 3, 4]",0.0
"[2, 7, 5]","[2, 7, 10, 3, 4]",0.4
"[7, 5]","[7, 10, 3, 4]",0.25
[5],"[10, 3, 4]",0.0
"[4, 3]","[3, 4]",0.0
[4],[4],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
[6],"[2, 7, 3, 4, 10]",0.0
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
"[2, 7, 5]",[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
"[2, 7, 5]",[6],0.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 5]",0.25
[6],"[9, 2, 5]",0.0
"[2, 7, 5]","[2, 5]",0.6666666666666667
"[7, 5]",[5],0.5
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 2, 7, 10, 4, 3]",0.1428571428571429
[6],"[9, 2, 7, 10, 4, 3]",0.0
[6],"[2, 7, 10, 4, 3]",0.0
"[7, 5]","[7, 10, 4, 3]",0.25
[5],"[10, 4, 3]",0.0
"[4, 3]","[4, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
"[2, 7, 5]",[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 10, 4, 3]",0.1428571428571429
[6],"[9, 2, 7, 10, 4, 3]",0.0
"[2, 7, 5]","[2, 7, 10, 4, 3]",0.4
"[7, 5]","[7, 10, 4, 3]",0.25
[5],"[10, 4, 3]",0.0
"[4, 3]","[4, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
"[2, 7, 5]",[6],0.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 10, 3, 4]",0.1428571428571429
[6],"[9, 2, 7, 10, 3, 4]",0.0
[6],"[2, 7, 10, 3, 4]",0.0
"[7, 5]","[7, 10, 3, 4]",0.25
[5],"[10, 3, 4]",0.0
"[4, 3]","[3, 4]",0.0
[4],[4],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
[6],"[2, 7, 6]",0.33333333333333337
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 10, 4, 3]",0.1428571428571429
[6],"[9, 2, 7, 10, 4, 3]",0.0
"[2, 7, 5]","[2, 7, 10, 4, 3]",0.4
"[7, 5]","[7, 10, 4, 3]",0.25
[5],"[10, 4, 3]",0.0
"[4, 3]","[4, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 3, 10]",0.1428571428571429
[6],"[9, 2, 7, 4, 3, 10]",0.0
"[2, 7, 5]","[2, 7, 4, 3, 10]",0.4
"[7, 5]","[7, 4, 3, 10]",0.25
[5],"[4, 3, 10]",0.0
"[10, 3]","[3, 10]",0.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
[6],"[2, 7, 4, 10, 3]",0.0
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9]",0.5
[6],[9],0.0
"[2, 7, 5]",[],0.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
[6],"[2, 7, 6]",0.33333333333333337
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
[6],[5],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
"[2, 7, 5]","[2, 7, 3, 4, 10]",0.4
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
"[2, 7, 5]",[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
"[2, 7, 5]","[2, 7, 3, 4, 10]",0.4
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
[6],"[2, 7, 4, 10, 3]",0.0
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 10, 4, 3]",0.1428571428571429
[6],"[9, 2, 7, 10, 4, 3]",0.0
[6],"[2, 7, 10, 4, 3]",0.0
"[7, 5]","[7, 10, 4, 3]",0.25
[5],"[10, 4, 3]",0.0
"[4, 3]","[4, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
[6],"[2, 7, 3, 4, 10]",0.0
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
[6],"[2, 7, 5]",0.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
[6],"[2, 7, 4, 10, 3]",0.0
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
[6],"[2, 7]",0.0
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9]",0.5
[6],[9],0.0
"[2, 7, 5]",[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
[6],"[2, 7]",0.0
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 3, 10]",0.1428571428571429
[6],"[9, 2, 7, 4, 3, 10]",0.0
[6],"[2, 7, 4, 3, 10]",0.0
"[7, 5]","[7, 4, 3, 10]",0.25
[5],"[4, 3, 10]",0.0
"[10, 3]","[3, 10]",0.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
"[2, 7, 5]","[2, 7, 3, 4, 10]",0.4
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 4, 10, 3]",0.1428571428571429
[6],"[9, 2, 7, 4, 10, 3]",0.0
"[2, 7, 5]","[2, 7, 4, 10, 3]",0.4
"[7, 5]","[7, 4, 10, 3]",0.25
[5],"[4, 10, 3]",0.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 6]",0.6666666666666667
[6],"[9, 6]",0.5
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 3, 4, 10]",0.1428571428571429
[6],"[9, 2, 7, 3, 4, 10]",0.0
"[2, 7, 5]","[2, 7, 3, 4, 10]",0.4
"[7, 5]","[7, 3, 4, 10]",0.25
[5],"[3, 4, 10]",0.0
"[4, 10]","[4, 10]",1.0
[10],[10],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 5]",0.19999999999999996
[6],"[9, 2, 7, 5]",0.0
"[2, 7, 5]","[2, 7, 5]",1.0
"[7, 5]","[7, 5]",1.0
[5],[5],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 9, 2, 7]",0.25
[6],"[9, 2, 7]",0.0
"[2, 7, 5]","[2, 7]",0.6666666666666667
"[7, 5]",[7],0.5
[5],[],0.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 7, 6]",0.4
[6],"[9, 2, 7, 6]",0.25
"[2, 7, 5]","[2, 7, 6]",0.6666666666666667
"[7, 5]","[7, 6]",0.5
[5],[6],0.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
[6],[5],0.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9]",0.5
[6],[9],0.0
[6],[],0.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
[6],"[9, 5]",0.0
"[2, 7, 5]",[5],0.33333333333333337
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 5]",0.33333333333333337
